구명,읍면동명,구분,선거인수,투표수,더불어민주당 송영길,국민의힘 오세훈,정의당 권수정,기본소득당 신지혜,무소속 김광종,득표계,무효투표수,기권수
종로구,합계,,129816,70657,28327,40145,1151,226,167,70016,641,59159
종로구,거소투표,,154,147,44,84,1,2,4,135,12,7
종로구,관외사전투표,,8069,8067,3450,4361,144,30,19,8004,63,2
종로구,청운효자동,소계,9179,4887,2094,2630,98,19,8,4849,38,4292
종로구,청운효자동,관내사전투표,1732,1732,848,828,36,8,3,1723,9,0
종로구,청운효자동,선거일투표,7447,3155,1246,1802,62,11,5,3126,29,4292
종로구,사직동,소계,8057,4452,1523,2785,94,11,13,4426,26,3605
종로구,사직동,관내사전투표,1699,1699,741,904,36,1,5,1687,12,0
종로구,사직동,선거일투표,6358,2753,782,1881,58,10,8,2739,14,3605
종로구,삼청동,소계,1962,1004,388,591,17,2,3,1001,3,958
종로구,삼청동,관내사전투표,319,319,152,156,10,0,0,318,1,0
종로구,삼청동,선거일투표,1643,685,236,435,7,2,3,683,2,958
종로구,부암동,소계,7693,4137,1665,2346,73,11,5,4100,37,3556
종로구,부암동,관내사전투표,1233,1233,559,642,22,0,0,1223,10,0
종로구,부암동,선거일투표,6460,2904,1106,1704,51,11,5,2877,27,3556
종로구,평창동,소계,14730,7931,2594,5143,120,12,12,7881,50,6799
종로구,평창동,관내사전투표,2449,2449,940,1443,43,1,5,2432,17,0
종로구,평창동,선거일투표,12281,5482,1654,3700,77,11,7,5449,33,6799
종로구,무악동,소계,6417,3796,1470,2225,54,10,4,3763,33,2621
종로구,무악동,관내사전투표,1540,1540,686,825,16,4,2,1533,7,0
종로구,무악동,선거일투표,4877,2256,784,1400,38,6,2,2230,26,2621
종로구,교남동,소계,8124,4634,1678,2808,66,26,7,4585,49,3490
종로구,교남동,관내사전투표,1683,1683,726,909,21,14,2,1672,11,0
종로구,교남동,선거일투표,6441,2951,952,1899,45,12,5,2913,38,3490
종로구,가회동,소계,3524,1921,828,1029,32,5,6,1900,21,1603
종로구,가회동,관내사전투표,884,884,429,426,16,2,4,877,7,0
종로구,가회동,선거일투표,2640,1037,399,603,16,3,2,1023,14,1603
종로구,종로1·2·3·4가동,소계,6253,2473,850,1553,32,7,7,2449,24,3780
종로구,종로1·2·3·4가동,관내사전투표,857,857,342,495,5,2,5,849,8,0
종로구,종로1·2·3·4가동,선거일투표,5396,1616,508,1058,27,5,2,1600,16,3780
종로구,종로5·6가동,소계,4426,1920,724,1126,28,8,9,1895,25,2506
종로구,종로5·6가동,관내사전투표,657,657,286,349,7,4,4,650,7,0
종로구,종로5·6가동,선거일투표,3769,1263,438,777,21,4,5,1245,18,2506
종로구,이화동,소계,6313,3086,1371,1607,51,13,11,3053,33,3227
종로구,이화동,관내사전투표,1162,1162,580,554,13,4,4,1155,7,0
종로구,이화동,선거일투표,5151,1924,791,1053,38,9,7,1898,26,3227
종로구,혜화동,소계,14010,7412,3067,4051,174,33,19,7344,68,6598
종로구,혜화동,관내사전투표,2905,2905,1378,1450,45,7,7,2887,18,0
종로구,혜화동,선거일투표,11105,4507,1689,2601,129,26,12,4457,50,6598
종로구,창신제1동,소계,4952,2664,1229,1367,34,4,5,2639,25,2288
종로구,창신제1동,관내사전투표,1406,1406,707,656,22,4,3,1392,14,0
종로구,창신제1동,선거일투표,3546,1258,522,711,12,0,2,1247,11,2288
종로구,창신제2동,소계,6772,3042,1451,1493,23,7,13,2987,55,3730
종로구,창신제2동,관내사전투표,794,794,456,324,3,1,2,786,8,0
종로구,창신제2동,선거일투표,5978,2248,995,1169,20,6,11,2201,47,3730
종로구,창신제3동,소계,5484,2957,1239,1658,33,6,4,2940,17,2527
종로구,창신제3동,관내사전투표,1214,1214,574,621,8,2,3,1208,6,0
종로구,창신제3동,선거일투표,4270,1743,665,1037,25,4,1,1732,11,2527
종로구,숭인제1동,소계,4987,2440,1015,1372,24,4,7,2422,18,2547
종로구,숭인제1동,관내사전투표,1028,1027,470,541,5,3,1,1020,7,1
종로구,숭인제1동,선거일투표,3959,1413,545,831,19,1,6,1402,11,2546
종로구,숭인제2동,소계,8710,3680,1644,1913,53,15,11,3636,44,5030
종로구,숭인제2동,관내사전투표,1389,1389,681,675,22,3,3,1384,5,0
종로구,숭인제2동,선거일투표,7321,2291,963,1238,31,12,8,2252,39,5030
종로구,잘못 투입·구분된 투표지,,0,7,3,3,0,1,0,7,0,-7
중구,,,,,더불어민주당 송영길,국민의힘 오세훈,정의당 권수정,기본소득당 신지혜,무소속 김광종,,,
중구,합계,,112039,60323,23811,34866,696,147,125,59645,678,51716
중구,거소투표,,161,155,36,108,2,0,3,149,6,6
중구,관외사전투표,,8118,8112,3604,4267,122,29,23,8045,67,6
중구,소공동,소계,1897,941,320,586,18,4,6,934,7,956
중구,소공동,관내사전투표,262,262,126,128,2,2,1,259,3,0
중구,소공동,선거일투표,1635,679,194,458,16,2,5,675,4,956
중구,회현동,소계,4266,2004,649,1300,18,3,5,1975,29,2262
중구,회현동,관내사전투표,711,711,254,449,6,0,1,710,1,0
중구,회현동,선거일투표,3555,1293,395,851,12,3,4,1265,28,2262
중구,명동,소계,2318,1096,374,695,14,1,2,1086,10,1222
중구,명동,관내사전투표,429,429,181,243,2,0,1,427,2,0
중구,명동,선거일투표,1889,667,193,452,12,1,1,659,8,1222
중구,필동,소계,3612,1848,730,1065,29,4,4,1832,16,1764
중구,필동,관내사전투표,791,791,364,408,12,1,0,785,6,0
중구,필동,선거일투표,2821,1057,366,657,17,3,4,1047,10,1764
중구,장충동,소계,4025,1867,757,1050,20,5,6,1838,29,2158
중구,장충동,관내사전투표,641,641,318,311,6,0,2,637,4,0
중구,장충동,선거일투표,3384,1226,439,739,14,5,4,1201,25,2158
중구,광희동,소계,4262,1707,515,1150,17,4,3,1689,18,2555
중구,광희동,관내사전투표,273,273,111,157,5,0,0,273,0,0
중구,광희동,선거일투표,3989,1434,404,993,12,4,3,1416,18,2555
중구,을지로동,소계,1572,665,255,399,1,1,3,659,6,907
중구,을지로동,관내사전투표,216,216,100,116,0,0,0,216,0,0
중구,을지로동,선거일투표,1356,449,155,283,1,1,3,443,6,907
중구,신당동,소계,6849,2956,1151,1718,26,5,4,2904,52,3893
중구,신당동,관내사전투표,941,941,410,512,9,1,1,933,8,0
중구,신당동,선거일투표,5908,2015,741,1206,17,4,3,1971,44,3893
중구,다산동,소계,11391,5408,2223,3019,59,11,13,5325,83,5983
중구,다산동,관내사전투표,1772,1772,814,917,15,0,3,1749,23,0
중구,다산동,선거일투표,9619,3636,1409,2102,44,11,10,3576,60,5983
중구,약수동,소계,13983,7746,2883,4637,95,22,11,7648,98,6237
중구,약수동,관내사전투표,2248,2247,966,1226,27,2,6,2227,20,1
중구,약수동,선거일투표,11735,5499,1917,3411,68,20,5,5421,78,6236
중구,청구동,소계,11276,6406,2471,3754,81,17,12,6335,71,4870
중구,청구동,관내사전투표,1663,1663,770,856,22,4,2,1654,9,0
중구,청구동,선거일투표,9613,4743,1701,2898,59,13,10,4681,62,4870
중구,신당제5동,소계,8896,4367,1938,2320,42,11,7,4318,49,4529
중구,신당제5동,관내사전투표,1894,1894,911,948,15,4,2,1880,14,0
중구,신당제5동,선거일투표,7002,2473,1027,1372,27,7,5,2438,35,4529
중구,동화동,소계,8502,4835,1888,2852,36,9,4,4789,46,3667
중구,동화동,관내사전투표,1907,1907,850,1031,13,1,0,1895,12,0
중구,동화동,선거일투표,6595,2928,1038,1821,23,8,4,2894,34,3667
중구,황학동,소계,11077,4815,1929,2763,53,10,12,4767,48,6262
중구,황학동,관내사전투표,1513,1512,660,821,14,4,0,1499,13,1
중구,황학동,선거일투표,9564,3303,1269,1942,39,6,12,3268,35,6261
중구,중림동,소계,9834,5388,2085,3179,63,11,7,5345,43,4446
중구,중림동,관내사전투표,1772,1772,774,967,18,1,2,1762,10,0
중구,중림동,선거일투표,8062,3616,1311,2212,45,10,5,3583,33,4446
중구,잘못 투입·구분된 투표지,,0,7,3,4,0,0,0,7,0,-7
용산구,,,,,더불어민주당 송영길,국민의힘 오세훈,정의당 권수정,기본소득당 신지혜,무소속 김광종,,,
용산구,합계,,199061,104787,34614,67579,1354,329,192,104068,719,94274
용산구,거소투표,,196,185,48,115,7,3,1,174,11,11
용산구,관외사전투표,,13654,13633,5219,8083,166,45,36,13549,84,21
용산구,후암동,소계,13814,6749,2869,3696,100,24,8,6697,52,7065
용산구,후암동,관내사전투표,2547,2546,1214,1290,26,3,0,2533,13,1
용산구,후암동,선거일투표,11267,4203,1655,2406,74,21,8,4164,39,7064
용산구,용산2가동,소계,8328,3903,1570,2178,67,20,18,3853,50,4425
용산구,용산2가동,관내사전투표,1589,1589,688,859,16,7,2,1572,17,0
용산구,용산2가동,선거일투표,6739,2314,882,1319,51,13,16,2281,33,4425
용산구,남영동,소계,6345,2375,919,1370,39,12,7,2347,28,3970
용산구,남영동,관내사전투표,554,554,236,301,9,1,1,548,6,0
용산구,남영동,선거일투표,5791,1821,683,1069,30,11,6,1799,22,3970
용산구,청파동,소계,16359,7073,3045,3814,119,29,14,7021,52,9286
용산구,청파동,관내사전투표,2123,2123,1067,1008,31,9,1,2116,7,0
용산구,청파동,선거일투표,14236,4950,1978,2806,88,20,13,4905,45,9286
용산구,원효로제1동,소계,13195,6576,2238,4156,105,28,13,6540,36,6619
용산구,원효로제1동,관내사전투표,2290,2290,927,1315,29,10,4,2285,5,0
용산구,원효로제1동,선거일투표,10905,4286,1311,2841,76,18,9,4255,31,6619
용산구,원효로제2동,소계,11107,5827,2169,3517,69,14,13,5782,45,5280
용산구,원효로제2동,관내사전투표,1823,1823,767,1023,16,4,5,1815,8,0
용산구,원효로제2동,선거일투표,9284,4004,1402,2494,53,10,8,3967,37,5280
용산구,효창동,소계,8602,4668,1775,2790,66,12,7,4650,18,3934
용산구,효창동,관내사전투표,1806,1806,774,997,24,5,0,1800,6,0
용산구,효창동,선거일투표,6796,2862,1001,1793,42,7,7,2850,12,3934
용산구,용문동,소계,10035,5446,2039,3253,90,15,10,5407,39,4589
용산구,용문동,관내사전투표,2093,2093,899,1145,30,3,4,2081,12,0
용산구,용문동,선거일투표,7942,3353,1140,2108,60,12,6,3326,27,4589
용산구,한강로동,소계,17707,8869,2208,6460,117,23,14,8822,47,8838
용산구,한강로동,관내사전투표,2078,2078,567,1469,27,4,3,2070,8,0
용산구,한강로동,선거일투표,15629,6791,1641,4991,90,19,11,6752,39,8838
용산구,이촌제1동,소계,20422,11834,2180,9487,100,15,11,11793,41,8588
용산구,이촌제1동,관내사전투표,4253,4253,943,3257,30,6,2,4238,15,0
용산구,이촌제1동,선거일투표,16169,7581,1237,6230,70,9,9,7555,26,8588
용산구,이촌제2동,소계,6894,4026,1205,2737,47,12,5,4006,20,2868
용산구,이촌제2동,관내사전투표,1299,1299,455,819,17,4,1,1296,3,0
용산구,이촌제2동,선거일투표,5595,2727,750,1918,30,8,4,2710,17,2868
용산구,이태원제1동,소계,5623,2534,767,1709,29,10,1,2516,18,3089
용산구,이태원제1동,관내사전투표,733,733,286,435,4,6,0,731,2,0
용산구,이태원제1동,선거일투표,4890,1801,481,1274,25,4,1,1785,16,3089
용산구,이태원제2동,소계,7777,3450,1199,2152,51,13,2,3417,33,4327
용산구,이태원제2동,관내사전투표,1133,1133,483,628,16,3,0,1130,3,0
용산구,이태원제2동,선거일투표,6644,2317,716,1524,35,10,2,2287,30,4327
용산구,한남동,소계,16788,6828,1886,4816,53,11,13,6779,49,9960
용산구,한남동,관내사전투표,1813,1809,602,1172,14,5,2,1795,14,4
용산구,한남동,선거일투표,14975,5019,1284,3644,39,6,11,4984,35,9956
용산구,서빙고동,소계,10145,5196,1186,3894,43,23,8,5154,42,4949
용산구,서빙고동,관내사전투표,1208,1208,393,782,8,9,2,1194,14,0
용산구,서빙고동,선거일투표,8937,3988,793,3112,35,14,6,3960,28,4949
용산구,보광동,소계,12070,5578,2076,3332,86,20,11,5525,53,6492
용산구,보광동,관내사전투표,2184,2182,837,1295,31,5,1,2169,13,2
용산구,보광동,선거일투표,9886,3396,1239,2037,55,15,10,3356,40,6490
용산구,잘못 투입·구분된 투표지,,0,37,16,20,0,0,0,36,1,-37
성동구,,,,,더불어민주당 송영길,국민의힘 오세훈,정의당 권수정,기본소득당 신지혜,무소속 김광종,,,
성동구,합계,,251990,139761,51996,84320,1510,350,273,138449,1312,112229
성동구,거소투표,,237,226,71,144,2,1,2,220,6,11
성동구,관외사전투표,,15142,15114,6159,8540,218,34,53,15004,110,28
성동구,금호1가동,소계,12053,6353,2352,3861,51,19,13,6296,57,5700
성동구,금호1가동,관내사전투표,1779,1779,802,951,15,2,3,1773,6,0
성동구,금호1가동,선거일투표,10274,4574,1550,2910,36,17,10,4523,51,5700
성동구,금호2·3가동,소계,18399,9525,3571,5738,85,27,16,9437,88,8874
성동구,금호2·3가동,관내사전투표,3054,3054,1375,1636,20,7,3,3041,13,0
성동구,금호2·3가동,선거일투표,15345,6471,2196,4102,65,20,13,6396,75,8874
성동구,금호4가동,소계,12087,6828,2434,4234,62,10,14,6754,74,5259
성동구,금호4가동,관내사전투표,2617,2617,1142,1431,17,1,8,2599,18,0
성동구,금호4가동,선거일투표,9470,4211,1292,2803,45,9,6,4155,56,5259
성동구,옥수동,소계,20954,11506,3361,7916,111,26,20,11434,72,9448
성동구,옥수동,관내사전투표,3076,3075,1029,2005,26,7,1,3068,7,1
성동구,옥수동,선거일투표,17878,8431,2332,5911,85,19,19,8366,65,9447
성동구,응봉동,소계,11984,6685,2456,4087,56,8,14,6621,64,5299
성동구,응봉동,관내사전투표,2413,2412,1007,1367,20,1,4,2399,13,1
성동구,응봉동,선거일투표,9571,4273,1449,2720,36,7,10,4222,51,5298
성동구,성수1가제1동,소계,13170,6494,2131,4205,71,11,7,6425,69,6676
성동구,성수1가제1동,관내사전투표,1890,1888,772,1072,19,7,1,1871,17,2
성동구,성수1가제1동,선거일투표,11280,4606,1359,3133,52,4,6,4554,52,6674
성동구,성수1가제2동,소계,11131,6471,2307,3997,75,24,16,6419,52,4660
성동구,성수1가제2동,관내사전투표,2378,2372,950,1371,21,15,5,2362,10,6
성동구,성수1가제2동,선거일투표,8753,4099,1357,2626,54,9,11,4057,42,4654
성동구,성수2가제1동,소계,13848,6872,2437,4298,57,15,7,6814,58,6976
성동구,성수2가제1동,관내사전투표,2902,2900,1171,1679,27,6,3,2886,14,2
성동구,성수2가제1동,선거일투표,10946,3972,1266,2619,30,9,4,3928,44,6974
성동구,성수2가제3동,소계,9298,4847,1630,3097,48,13,11,4799,48,4451
성동구,성수2가제3동,관내사전투표,1829,1827,736,1053,19,5,4,1817,10,2
