구명,읍면동명,투표수_8회,오세훈_8회,오세훈율_8회,투표수_9회,오세훈_9회,오세훈율_9회,득표수증감,득표율증감
강남구,개포1동,3818,2938,76.95,14035,9867,70.3,6929,-6.65
강남구,개포2동,12501,9632,77.05,18105,12755,70.45,3123,-6.6
강남구,개포4동,9648,6661,69.04,11359,6822,60.06,161,-8.98
강남구,논현1동,6368,4302,67.56,7850,4747,60.47,445,-7.09
강남구,논현2동,7068,5261,74.43,8344,5630,67.47,369,-6.96
강남구,대치1동,10128,8703,85.93,11159,8834,79.16,131,-6.77
강남구,대치2동,15076,12418,82.37,17896,13386,74.8,968,-7.57
강남구,대치4동,6682,4486,67.14,7727,4491,58.12,5,-9.02
강남구,도곡1동,9352,6935,74.16,10559,6998,66.28,63,-7.88
강남구,도곡2동,14091,12058,85.57,14856,11686,78.66,-372,-6.91
강남구,삼성1동,5415,4241,78.32,6270,4605,73.44,364,-4.88
강남구,삼성2동,11547,8691,75.27,14062,9590,68.2,899,-7.07
강남구,세곡동,16734,10274,61.4,22240,11723,52.71,1449,-8.69
강남구,수서동,7307,4815,65.9,8060,4732,58.71,-83,-7.19
강남구,신사동,6826,5601,82.05,7608,5856,76.97,255,-5.08
강남구,압구정동,11844,10501,88.66,12753,10757,84.35,256,-4.31
강남구,역삼1동,10315,6761,65.55,12851,7504,58.39,743,-7.16
강남구,역삼2동,12972,9543,73.57,16022,10429,65.09,886,-8.48
강남구,일원1동,6530,4103,62.83,6946,3899,56.13,-204,-6.7
강남구,일원본동,10053,7190,71.52,11571,7310,63.18,120,-8.34
강남구,청담동,9742,7968,81.79,12086,9091,75.22,1123,-6.57
강동구,강일동,13244,7156,54.03,17700,7821,44.19,665,-9.84
강동구,고덕제1동,9813,6281,64.01,11635,6116,52.57,-165,-11.44
강동구,고덕제2동,9557,6461,67.6,12535,7089,56.55,628,-11.05
강동구,길동,17450,10594,60.71,22943,11604,50.58,1010,-10.13
강동구,둔촌제2동,10320,6353,61.56,13210,6941,52.54,588,-9.02
강동구,명일제1동,11157,7334,65.73,12986,7413,57.08,79,-8.65
강동구,명일제2동,8430,5650,67.02,8947,5248,58.66,-402,-8.36
강동구,상일제1동,16051,10504,65.44,19454,10612,54.55,108,-10.89
강동구,상일제2동,4488,2318,51.65,6534,2756,42.18,438,-9.47
강동구,성내제1동,8447,4910,58.13,9910,4949,49.94,39,-8.19
강동구,성내제2동,9193,5334,58.02,12130,5922,48.82,588,-9.2
강동구,성내제3동,9824,5758,58.61,11353,5408,47.63,-350,-10.98
강동구,암사제1동,12605,7372,58.48,15174,7330,48.31,-42,-10.17
강동구,암사제2동,7463,4508,60.4,8925,4543,50.9,35,-9.5
강동구,암사제3동,8388,5415,64.56,9718,5215,53.66,-200,-10.9
강동구,천호제1동,10703,6115,57.13,11829,5715,48.31,-400,-8.82
강동구,천호제2동,12498,7218,57.75,17325,8640,49.87,1422,-7.88
강동구,천호제3동,9651,5779,59.88,12848,6637,51.66,858,-8.22
강북구,미아동,8920,4606,51.64,10486,4411,42.07,-195,-9.57
강북구,번1동,6868,3838,55.88,7955,3444,43.29,-394,-12.59
강북구,번2동,6438,3478,54.02,7104,3159,44.47,-319,-9.55
강북구,번3동,7275,4003,55.02,8059,3690,45.79,-313,-9.23
강북구,삼각산동,12936,6833,52.82,15158,6632,43.75,-201,-9.07
강북구,삼양동,8681,4493,51.76,11532,5007,43.42,514,-8.34
강북구,송중동,11010,6014,54.62,12385,5771,46.6,-243,-8.02
강북구,송천동,10319,5483,53.13,11381,5044,44.32,-439,-8.81
강북구,수유1동,7722,4083,52.87,9063,3757,41.45,-326,-11.42
강북구,수유2동,8846,4983,56.33,10100,4670,46.24,-313,-10.09
강북구,수유3동,8737,4712,53.93,9442,4364,46.22,-348,-7.71
강북구,우이동,8325,4569,54.88,9427,4113,43.63,-456,-11.25
강북구,인수동,11332,6119,54.0,12788,5587,43.69,-532,-10.31
강서구,가양제1동,12437,7260,58.37,15221,7897,51.88,637,-6.49
강서구,가양제2동,7361,4365,59.3,7945,3932,49.49,-433,-9.81
강서구,가양제3동,7331,4195,57.22,8024,3945,49.17,-250,-8.05
강서구,공항동,10867,6112,56.24,13088,5910,45.16,-202,-11.08
강서구,등촌제1동,9697,5479,56.5,12298,5844,47.52,365,-8.98
강서구,등촌제2동,8504,5138,60.42,9747,4879,50.06,-259,-10.36
강서구,등촌제3동,14032,8081,57.59,15635,7631,48.81,-450,-8.78
강서구,발산제1동,14732,7739,52.53,17586,7211,41.0,-528,-11.53
강서구,방화제1동,17614,10022,56.9,20333,9639,47.41,-383,-9.49
강서구,방화제2동,9519,5683,59.7,11468,5554,48.43,-129,-11.27
강서구,방화제3동,10464,6067,57.98,11628,5671,48.77,-396,-9.21
강서구,염창동,17615,10002,56.78,20981,9887,47.12,-115,-9.66
강서구,우장산동,16070,9563,59.51,19709,9841,49.93,278,-9.58
강서구,화곡본동,11346,5898,51.98,13242,5524,41.72,-374,-10.26
강서구,화곡제1동,17282,9165,53.03,20316,9024,44.42,-141,-8.61
강서구,화곡제2동,6338,3267,51.55,7405,3060,41.32,-207,-10.23
강서구,화곡제3동,9453,5659,59.86,10803,5429,50.25,-230,-9.61
강서구,화곡제4동,7864,4306,54.76,9010,3774,41.89,-532,-12.87
강서구,화곡제6동,10361,5936,57.29,12686,5958,46.97,22,-10.32
강서구,화곡제8동,10045,5009,49.87,11638,4551,39.1,-458,-10.77
관악구,낙성대동,6495,3449,53.1,8344,3953,47.38,504,-5.72
관악구,난곡동,10481,5592,53.35,11238,4693,41.76,-899,-11.59
관악구,난향동,6569,3615,55.03,7405,3160,42.67,-455,-12.36
관악구,남현동,7597,4243,55.85,8927,4309,48.27,66,-7.58
관악구,대학동,9301,5047,54.26,11323,5224,46.14,177,-8.12
관악구,미성동,12796,7293,56.99,13942,6490,46.55,-803,-10.44
관악구,보라매동,9853,5134,52.11,11081,4952,44.69,-182,-7.42
관악구,삼성동,10234,5311,51.9,10902,4767,43.73,-544,-8.17
관악구,서림동,8637,4710,54.53,9681,4719,48.74,9,-5.79
관악구,서원동,8455,4451,52.64,9792,4549,46.46,98,-6.18
관악구,성현동,12618,6777,53.71,15227,6963,45.73,186,-7.98
관악구,신림동,7370,3764,51.07,9365,4319,46.12,555,-4.95
관악구,신사동,8693,4553,52.38,10478,4627,44.16,74,-8.22
관악구,신원동,7133,3681,51.61,8223,3724,45.29,43,-6.32
관악구,은천동,13813,7157,51.81,15779,6854,43.44,-303,-8.37
관악구,인헌동,11200,5819,51.96,13972,6007,42.99,188,-8.97
관악구,조원동,7193,3862,53.69,9560,4338,45.38,476,-8.31
관악구,중앙동,6046,3010,49.78,7556,3258,43.12,248,-6.66
관악구,청룡동,14076,7402,52.59,16981,7907,46.56,505,-6.03
관악구,청림동,7360,4080,55.43,8034,3707,46.14,-373,-9.29
관악구,행운동,11925,6224,52.19,13825,6325,45.75,101,-6.44
광진구,광장동,14060,9103,64.74,16585,9135,55.08,32,-9.66
광진구,구의제1동,9644,5393,55.92,11800,5584,47.32,191,-8.6
광진구,구의제2동,10593,5793,54.69,12581,5822,46.28,29,-8.41
광진구,구의제3동,12870,8179,63.55,15478,8372,54.09,193,-9.46
광진구,군자동,7520,4204,55.9,8898,4134,46.46,-70,-9.44
광진구,능동,4854,2597,53.5,5753,2653,46.12,56,-7.38
광진구,자양제1동,9286,5024,54.1,11593,5394,46.53,370,-7.57
광진구,자양제2동,9742,5818,59.72,12517,6616,52.86,798,-6.86
광진구,자양제3동,12775,8422,65.93,14645,8192,55.94,-230,-9.99
광진구,자양제4동,7802,4738,60.73,10792,5638,52.24,900,-8.49
광진구,중곡제1동,5971,3152,52.79,7580,3418,45.09,266,-7.7
